timestamp,symbol,price,volume,bid,ask,bid_volume,ask_volume,trade_type
2024-01-01 09:30:00,MSFT,300.0,823,299.98,300.02,177,260,trade
2024-01-01 09:30:01,MSFT,299.98,501,299.97,299.99,283,215,trade
2024-01-01 09:30:02,MSFT,299.97,258,299.97,299.98,499,251,trade
2024-01-01 09:30:03,MSFT,299.98,831,299.97,299.99,156,182,trade
2024-01-01 09:30:04,MSFT,299.97,951,299.96,299.99,247,257,trade
2024-01-01 09:30:05,MSFT,300.0,437,299.99,300.02,144,280,trade
2024-01-01 09:30:06,MSFT,300.0,219,299.98,300.02,319,202,trade
2024-01-01 09:30:07,MSFT,300.0,768,299.98,300.02,240,468,trade
2024-01-01 09:30:08,MSFT,299.99,419,299.98,300.0,302,477,trade
2024-01-01 09:30:09,MSFT,300.0,980,299.98,300.02,124,201,trade
2024-01-01 09:30:10,MSFT,300.0,293,299.97,300.02,327,330,trade
2024-01-01 09:30:11,MSFT,299.99,879,299.98,300.0,379,311,trade
2024-01-01 09:30:12,MSFT,299.99,735,299.98,300.0,389,256,trade
2024-01-01 09:30:13,MSFT,299.98,484,299.97,300.0,442,124,trade
2024-01-01 09:30:14,MSFT,299.99,746,299.97,300.01,168,260,trade
2024-01-01 09:30:15,MSFT,300.01,907,300.0,300.01,340,442,trade
2024-01-01 09:30:16,MSFT,299.99,974,299.97,300.0,274,405,trade
2024-01-01 09:30:17,MSFT,299.99,779,299.98,300.0,452,189,trade
2024-01-01 09:30:18,MSFT,300.0,604,299.99,300.01,251,393,trade
2024-01-01 09:30:19,MSFT,300.02,392,300.0,300.03,397,444,trade
2024-01-01 09:30:20,MSFT,300.01,629,300.0,300.02,177,447,trade
2024-01-01 09:30:21,MSFT,300.02,931,300.01,300.03,286,321,trade
2024-01-01 09:30:22,MSFT,300.02,138,300.0,300.04,368,118,trade
2024-01-01 09:30:23,MSFT,300.01,862,299.99,300.04,399,412,trade
2024-01-01 09:30:24,MSFT,300.03,561,300.02,300.04,195,257,trade
2024-01-01 09:30:25,MSFT,300.01,277,299.99,300.03,306,261,trade
2024-01-01 09:30:26,MSFT,300.0,489,299.98,300.02,222,352,trade
2024-01-01 09:30:27,MSFT,299.99,196,299.98,300.0,453,120,trade
2024-01-01 09:30:28,MSFT,299.99,421,299.97,300.01,143,240,trade
2024-01-01 09:30:29,MSFT,299.99,452,299.98,300.01,183,194,trade
2024-01-01 09:30:30,MSFT,300.01,645,300.0,300.03,272,393,trade
2024-01-01 09:30:31,MSFT,300.02,614,300.01,300.03,481,197,trade
2024-01-01 09:30:32,MSFT,300.02,499,300.01,300.04,191,123,trade
2024-01-01 09:30:33,MSFT,300.02,100,300.01,300.02,227,283,trade
2024-01-01 09:30:34,MSFT,300.01,538,300.0,300.01,334,496,trade
2024-01-01 09:30:35,MSFT,300.01,272,299.99,300.03,231,224,trade
2024-01-01 09:30:36,MSFT,300.01,129,300.01,300.02,390,343,trade
2024-01-01 09:30:37,MSFT,300.01,436,299.99,300.03,160,416,trade
2024-01-01 09:30:38,MSFT,300.0,656,299.98,300.03,438,347,trade
2024-01-01 09:30:39,MSFT,299.99,383,299.98,300.01,405,285,trade
2024-01-01 09:30:40,MSFT,299.99,695,299.97,300.01,188,356,trade
2024-01-01 09:30:41,MSFT,299.99,152,299.98,300.0,320,482,trade
2024-01-01 09:30:42,MSFT,299.97,795,299.96,299.99,197,374,trade
2024-01-01 09:30:43,MSFT,299.97,326,299.94,299.99,391,256,trade
2024-01-01 09:30:44,MSFT,299.96,355,299.93,299.98,190,185,trade
2024-01-01 09:30:45,MSFT,299.96,506,299.94,299.98,441,482,trade
2024-01-01 09:30:46,MSFT,299.94,391,299.93,299.95,260,494,trade
2024-01-01 09:30:47,MSFT,299.93,232,299.91,299.96,270,456,trade
2024-01-01 09:30:48,MSFT,299.94,200,299.93,299.95,403,316,trade
2024-01-01 09:30:49,MSFT,299.93,184,299.91,299.96,350,341,trade
2024-01-01 09:30:50,MSFT,299.96,659,299.94,299.98,313,137,trade
2024-01-01 09:30:51,MSFT,299.97,490,299.96,299.98,296,342,trade
2024-01-01 09:30:52,MSFT,299.96,304,299.96,299.97,154,409,trade
2024-01-01 09:30:53,MSFT,299.97,330,299.96,299.98,346,242,trade
2024-01-01 09:30:54,MSFT,299.98,878,299.97,299.99,462,471,trade
2024-01-01 09:30:55,MSFT,299.97,313,299.95,299.99,448,327,trade
2024-01-01 09:30:56,MSFT,299.97,532,299.94,299.99,487,182,trade
2024-01-01 09:30:57,MSFT,299.97,380,299.95,299.99,290,283,trade
2024-01-01 09:30:58,MSFT,299.96,902,299.94,299.98,331,141,trade
2024-01-01 09:30:59,MSFT,299.96,349,299.95,299.97,357,375,trade
2024-01-01 09:31:00,MSFT,299.97,975,299.95,299.99,417,294,trade
2024-01-01 09:31:01,MSFT,299.98,859,299.97,299.99,484,400,trade
2024-01-01 09:31:02,MSFT,299.98,669,299.96,300.0,250,261,trade
2024-01-01 09:31:03,MSFT,300.0,540,299.98,300.02,401,195,trade
2024-01-01 09:31:04,MSFT,300.0,269,299.99,300.01,352,268,trade
2024-01-01 09:31:05,MSFT,299.99,538,299.98,300.0,308,473,trade
2024-01-01 09:31:06,MSFT,299.99,270,299.98,299.99,117,382,trade
2024-01-01 09:31:07,MSFT,299.99,356,299.98,300.0,451,130,trade
2024-01-01 09:31:08,MSFT,300.0,955,299.97,300.02,314,204,trade
2024-01-01 09:31:09,MSFT,299.98,928,299.97,299.99,440,176,trade
2024-01-01 09:31:10,MSFT,299.98,379,299.98,299.99,145,232,trade
2024-01-01 09:31:11,MSFT,299.98,122,299.96,300.0,308,159,trade
2024-01-01 09:31:12,MSFT,299.98,415,299.97,300.0,165,226,trade
2024-01-01 09:31:13,MSFT,300.0,147,299.98,300.03,285,205,trade
2024-01-01 09:31:14,MSFT,299.99,842,299.97,300.01,421,308,trade
2024-01-01 09:31:15,MSFT,299.99,243,299.98,300.01,460,112,trade
2024-01-01 09:31:16,MSFT,300.01,242,299.99,300.03,425,420,trade
2024-01-01 09:31:17,MSFT,300.0,380,299.98,300.02,155,186,trade
2024-01-01 09:31:18,MSFT,299.98,368,299.98,299.99,488,443,trade
2024-01-01 09:31:19,MSFT,300.0,228,299.99,300.02,137,462,trade
2024-01-01 09:31:20,MSFT,300.0,554,300.0,300.01,303,232,trade
2024-01-01 09:31:21,MSFT,299.99,156,299.97,300.0,196,327,trade
2024-01-01 09:31:22,MSFT,299.98,640,299.96,300.01,457,237,trade
2024-01-01 09:31:23,MSFT,300.0,814,299.98,300.02,130,276,trade
2024-01-01 09:31:24,MSFT,300.0,419,299.98,300.01,354,313,trade
2024-01-01 09:31:25,MSFT,299.99,829,299.97,300.01,219,343,trade
2024-01-01 09:31:26,MSFT,300.01,363,300.0,300.01,420,404,trade
2024-01-01 09:31:27,MSFT,300.0,405,299.99,300.01,482,152,trade
2024-01-01 09:31:28,MSFT,300.01,894,299.99,300.04,117,343,trade
2024-01-01 09:31:29,MSFT,300.02,545,300.02,300.03,192,305,trade
2024-01-01 09:31:30,MSFT,300.02,893,300.0,300.04,423,403,trade
2024-01-01 09:31:31,MSFT,300.03,413,300.02,300.04,129,278,trade
2024-01-01 09:31:32,MSFT,300.02,563,300.0,300.05,313,434,trade
2024-01-01 09:31:33,MSFT,300.03,494,300.02,300.04,191,332,trade
2024-01-01 09:31:34,MSFT,300.03,917,300.02,300.04,215,269,trade
2024-01-01 09:31:35,MSFT,300.04,641,300.03,300.06,308,182,trade
2024-01-01 09:31:36,MSFT,300.03,865,300.01,300.05,116,418,trade
2024-01-01 09:31:37,MSFT,300.03,923,300.02,300.03,453,338,trade
2024-01-01 09:31:38,MSFT,300.03,833,300.02,300.04,489,410,trade
2024-01-01 09:31:39,MSFT,300.02,666,300.01,300.03,115,219,trade
2024-01-01 09:31:40,MSFT,300.02,809,299.99,300.04,182,277,trade
2024-01-01 09:31:41,MSFT,300.01,772,299.99,300.03,325,309,trade
2024-01-01 09:31:42,MSFT,300.02,582,300.01,300.03,337,371,trade
2024-01-01 09:31:43,MSFT,300.01,808,300.0,300.03,261,142,trade
2024-01-01 09:31:44,MSFT,300.0,763,299.98,300.02,196,228,trade
2024-01-01 09:31:45,MSFT,299.99,168,299.97,300.01,172,191,trade
2024-01-01 09:31:46,MSFT,300.01,154,300.0,300.02,136,461,trade
2024-01-01 09:31:47,MSFT,300.01,173,299.98,300.03,340,254,trade
2024-01-01 09:31:48,MSFT,300.0,187,299.98,300.03,457,124,trade
2024-01-01 09:31:49,MSFT,299.99,655,299.98,300.0,487,483,trade
2024-01-01 09:31:50,MSFT,300.02,586,300.01,300.02,459,297,trade
2024-01-01 09:31:51,MSFT,300.03,642,300.01,300.05,341,348,trade
2024-01-01 09:31:52,MSFT,300.03,476,300.01,300.05,109,160,trade
2024-01-01 09:31:53,MSFT,300.04,324,300.01,300.06,379,265,trade
2024-01-01 09:31:54,MSFT,300.03,568,300.01,300.06,354,126,trade
2024-01-01 09:31:55,MSFT,300.02,181,300.01,300.03,433,143,trade
2024-01-01 09:31:56,MSFT,300.0,507,299.99,300.01,400,315,trade
2024-01-01 09:31:57,MSFT,300.01,462,300.01,300.02,227,438,trade
2024-01-01 09:31:58,MSFT,300.01,531,299.99,300.04,366,391,trade
2024-01-01 09:31:59,MSFT,300.03,943,300.02,300.03,107,456,trade
2024-01-01 09:32:00,MSFT,300.03,978,300.01,300.04,394,417,trade
2024-01-01 09:32:01,MSFT,300.04,127,300.02,300.05,423,330,trade
