timestamp,price,volume
2024-01-01 00:00:00,42350.50,1.234
2024-01-01 00:15:00,42365.75,2.456
2024-01-01 00:30:00,42380.25,1.789
2024-01-01 00:45:00,42372.50,3.123
2024-01-01 01:00:00,42395.00,2.678
2024-01-01 01:15:00,42408.25,1.934
2024-01-01 01:30:00,42421.75,2.567
2024-01-01 01:45:00,42435.50,3.234
2024-01-01 02:00:00,42448.00,1.856
2024-01-01 02:15:00,42434.25,2.789
2024-01-01 02:30:00,42456.75,3.456
2024-01-01 02:45:00,42471.50,2.123
2024-01-01 03:00:00,42485.00,1.678
2024-01-01 03:15:00,42499.25,2.934
2024-01-01 03:30:00,42512.75,3.567
2024-01-01 03:45:00,42498.50,1.789
2024-01-01 04:00:00,42527.00,2.456
2024-01-01 04:15:00,42541.25,3.123
2024-01-01 04:30:00,42528.75,1.856
2024-01-01 04:45:00,42555.50,2.678
2024-01-01 05:00:00,42569.00,3.234
2024-01-01 05:15:00,42582.25,1.567
2024-01-01 05:30:00,42595.75,2.789
2024-01-01 05:45:00,42608.50,3.456
2024-01-01 06:00:00,42622.00,2.123
2024-01-01 06:15:00,42635.25,1.678
2024-01-01 06:30:00,42648.75,2.934
2024-01-01 06:45:00,42661.50,3.567
2024-01-01 07:00:00,42675.00,1.789
2024-01-01 07:15:00,42688.25,2.456
2024-01-01 07:30:00,42701.75,3.123
2024-01-01 07:45:00,42714.50,1.856
2024-01-01 08:00:00,42728.00,2.678
2024-01-01 08:15:00,42741.25,3.234
2024-01-01 08:30:00,42754.75,1.567
2024-01-01 08:45:00,42768.50,2.789
2024-01-01 09:00:00,42781.00,3.456
2024-01-01 09:15:00,42794.25,2.123
2024-01-01 09:30:00,42807.75,1.678
2024-01-01 09:45:00,42821.50,2.934
2024-01-01 10:00:00,42835.00,3.567
2024-01-01 10:15:00,42848.25,1.789
2024-01-01 10:30:00,42861.75,2.456
2024-01-01 10:45:00,42874.50,3.123
2024-01-01 11:00:00,42888.00,1.856
2024-01-01 11:15:00,42901.25,2.678
2024-01-01 11:30:00,42914.75,3.234
2024-01-01 11:45:00,42928.50,1.567
2024-01-01 12:00:00,42941.00,2.789
2024-01-01 12:15:00,42954.25,3.456
2024-01-01 12:30:00,42967.75,2.123
2024-01-01 12:45:00,42981.50,1.678
2024-01-01 13:00:00,42995.00,2.934
2024-01-01 13:15:00,43008.25,3.567
2024-01-01 13:30:00,43021.75,1.789
2024-01-01 13:45:00,43035.50,2.456
2024-01-01 14:00:00,43049.00,3.123
2024-01-01 14:15:00,43062.25,1.856
2024-01-01 14:30:00,43075.75,2.678
2024-01-01 14:45:00,43089.50,3.234
2024-01-01 15:00:00,43103.00,1.567
2024-01-01 15:15:00,43116.25,2.789
2024-01-01 15:30:00,43129.75,3.456
2024-01-01 15:45:00,43143.50,2.123
2024-01-01 16:00:00,43157.00,1.678
2024-01-01 16:15:00,43170.25,2.934
2024-01-01 16:30:00,43183.75,3.567
2024-01-01 16:45:00,43197.50,1.789
2024-01-01 17:00:00,43211.00,2.456
2024-01-01 17:15:00,43224.25,3.123
2024-01-01 17:30:00,43237.75,1.856
2024-01-01 17:45:00,43251.50,2.678
2024-01-01 18:00:00,43265.00,3.234
2024-01-01 18:15:00,43278.25,1.567
2024-01-01 18:30:00,43291.75,2.789
2024-01-01 18:45:00,43305.50,3.456
2024-01-01 19:00:00,43319.00,2.123
2024-01-01 19:15:00,43332.25,1.678
2024-01-01 19:30:00,43345.75,2.934
2024-01-01 19:45:00,43359.50,3.567
2024-01-01 20:00:00,43373.00,1.789
2024-01-01 20:15:00,43386.25,2.456
2024-01-01 20:30:00,43399.75,3.123
2024-01-01 20:45:00,43413.50,1.856
2024-01-01 21:00:00,43427.00,2.678
2024-01-01 21:15:00,43440.25,3.234
2024-01-01 21:30:00,43453.75,1.567
2024-01-01 21:45:00,43467.50,2.789
2024-01-01 22:00:00,43481.00,3.456
2024-01-01 22:15:00,43494.25,2.123
2024-01-01 22:30:00,43507.75,1.678
2024-01-01 22:45:00,43521.50,2.934
2024-01-01 23:00:00,43535.00,3.567
2024-01-01 23:15:00,43548.25,1.789
2024-01-01 23:30:00,43561.75,2.456
2024-01-01 23:45:00,43575.50,3.123
2024-01-02 00:00:00,43589.00,1.856
